filename,found,endtime,total_computation_time
solver_20_trains_5_units12,True,5280,00:01:30.9399115
solver_20_trains_5_units13,True,5760,00:01:09.8396133
solver_20_trains_5_units14,True,5040,00:24:55.4164510
solver_20_trains_5_units14,True,5280,00:06:54.5471267
solver_20_trains_5_units14,True,5760,00:02:05.0582045
solver_20_trains_5_units5,True,5040,00:05:20.4413372
solver_20_trains_5_units5,True,5520,00:04:06.1511792
solver_20_trains_5_units5,True,5760,00:10:49.7416358
solver_20_trains_5_units6,True,5040,00:01:52.2714184
solver_20_trains_5_units20,True,5280,00:01:56.9210309
solver_20_trains_5_units20,True,5520,00:01:30.8701747
solver_20_trains_5_units20,True,5760,00:01:28.9138592
solver_20_trains_5_units21,True,5040,00:07:59.0486296
solver_20_trains_5_units21,True,5280,00:05:38.8128999
solver_20_trains_5_units3,True,5760,00:01:34.1099462
solver_20_trains_5_units4,True,5040,00:01:55.9993433
solver_20_trains_5_units4,True,5280,00:01:57.6059839
solver_20_trains_5_units4,True,5520,00:01:24.6104618
solver_20_trains_5_units4,True,5760,00:01:56.7509068
solver_20_trains_5_units30,True,5520,00:01:26.0784761
solver_20_trains_5_units30,True,5760,00:01:43.3556807
solver_20_trains_5_units3,True,5040,00:04:41.8421345
solver_20_trains_5_units3,True,5280,00:01:53.9306898
solver_20_trains_5_units3,True,5520,00:01:48.0240047
solver_20_trains_5_units21,True,5520,00:01:02.7396857
solver_20_trains_5_units21,True,5760,00:01:48.6363360
solver_20_trains_5_units22,True,5040,00:05:43.1565475
solver_20_trains_5_units22,True,5520,00:04:54.0698249
solver_20_trains_5_units27,True,5760,00:01:09.5381433
solver_20_trains_5_units28,True,5280,00:01:36.7102885
solver_20_trains_5_units28,True,5520,00:01:13.9812672
solver_20_trains_5_units28,True,5760,00:01:31.8224074
solver_20_trains_5_units22,True,5760,00:02:29.4721470
solver_20_trains_5_units23,True,5040,00:06:22.8677200
solver_20_trains_5_units23,True,5280,00:01:51.1566657
solver_20_trains_5_units23,True,5520,00:01:10.3502775
solver_20_trains_5_units23,True,5760,00:01:30.4398265
solver_20_trains_5_units15,True,5040,00:06:47.4739510
solver_20_trains_5_units15,True,5280,00:28:54.9413751
solver_20_trains_5_units15,True,5520,00:01:51.1766215
solver_20_trains_5_units15,True,5760,00:01:10.7370217
solver_20_trains_5_units8,True,5760,00:02:15.5669753
solver_20_trains_5_units9,True,5280,00:06:27.1497434
solver_20_trains_5_units9,True,5520,00:02:07.3954617
solver_20_trains_5_units9,True,5760,00:00:33.4602827
solver_20_trains_5_units29,True,5040,00:07:04.8970866
solver_20_trains_5_units29,True,5280,00:01:53.3090697
solver_20_trains_5_units29,True,5520,00:01:43.9564936
solver_20_trains_5_units29,True,5760,00:01:05.8020602
solver_20_trains_5_units2,True,5040,00:05:56.8666514
solver_20_trains_5_units1,True,5040,00:02:31.3328512
solver_20_trains_5_units1,True,5280,00:03:17.5971241
solver_20_trains_5_units1,True,5520,00:01:28.4972412
solver_20_trains_5_units1,True,5760,00:01:12.3478313
solver_20_trains_5_units20,True,5040,00:07:28.0537365
solver_20_trains_5_units7,True,5520,00:01:41.3947653
solver_20_trains_5_units7,True,5760,00:01:46.0419086
solver_20_trains_5_units8,True,5040,00:16:49.5285954
solver_20_trains_5_units8,True,5280,00:01:33.6237725
solver_20_trains_5_units8,True,5520,00:01:27.8383686
solver_20_trains_5_units24,True,5040,00:01:30.4119834
solver_20_trains_5_units24,True,5280,00:00:46.3741801
solver_20_trains_5_units24,True,5520,00:01:15.4482223
solver_20_trains_5_units24,True,5760,00:00:38.9316209
solver_20_trains_5_units25,True,5040,00:02:14.5937546
