rho,num_trains,k,time,time_first_solution,solution_found,num_movements
2,30,12,1813.8175148963928,1813.8175148963928,False,157
2,30,1,404.0103600025177,404.0103600025177,True,179
2,30,1,378.0266680717468,378.0266680717468,True,141
2,30,1,469.69355511665344,469.69355511665344,True,162
2,30,5,1059.6882684230804,1059.6882684230804,True,178
3,30,2,592.5194978713989,592.5194978713989,True,181
3,30,5,914.8591825962067,914.8591825962067,True,163
3,30,6,903.8828077316284,903.8828077316284,True,149
3,30,1,406.99496364593506,406.99496364593506,True,149
3,30,12,1549.1709690093994,1549.1709690093994,True,164
3,30,4,768.1490845680237,768.1490845680237,True,151
3,30,2,536.0448408126831,536.0448408126831,True,168
3,30,11,1820.4860808849335,1820.4860808849335,False,171
3,30,4,737.5633814334869,737.5633814334869,True,159
3,30,10,1907.8381443023682,1907.8381443023682,False,156
3,30,2,574.0616643428802,574.0616643428802,True,177
3,30,12,1874.4730019569397,1874.4730019569397,False,145
3,30,5,974.0670347213745,974.0670347213745,True,164
3,30,14,1880.7967190742493,1880.7967190742493,False,158
3,30,1,386.988605260849,386.988605260849,True,162
3,30,1,452.67854261398315,452.67854261398315,True,165
3,30,14,1866.697463274002,1866.697463274002,False,152
3,30,6,1031.546935081482,1031.546935081482,True,167
3,30,6,1064.4375309944153,1064.4375309944153,True,167
3,30,9,1209.7858772277832,1209.7858772277832,True,165
3,30,5,972.5319247245789,972.5319247245789,True,150
3,30,2,605.1087129116058,605.1087129116058,True,169
3,30,3,643.6657600402832,643.6657600402832,True,164
3,30,4,784.4696056842804,784.4696056842804,True,169
3,30,1,379.9878931045532,379.9878931045532,True,166
3,30,1,383.90467977523804,383.90467977523804,True,150
3,30,2,530.326461315155,530.326461315155,True,173
3,30,5,956.4986391067505,956.4986391067505,True,183
3,30,2,555.0143551826477,555.0143551826477,True,149
3,30,11,1734.8504660129547,1734.8504660129547,True,147
