rho,num_trains,k,time,time_first_solution,solution_found,num_movements
1.5,30,2,509.6339781284332,509.6339781284332,True,156
1.5,30,13,1870.0649502277374,1870.0649502277374,False,159
1.5,30,11,1891.9825284481049,1891.9825284481049,False,180
1.5,30,3,767.0054574012756,767.0054574012756,True,161
1.5,30,3,865.2742490768433,865.2742490768433,True,187
1.5,30,2,554.3342764377594,554.3342764377594,True,149
1.5,30,11,1801.4883975982666,1801.4883975982666,False,183
1.5,30,4,842.5663216114044,842.5663216114044,True,179
1.5,30,12,1858.3900434970856,1858.3900434970856,False,166
1.5,30,11,1896.9043352603912,1896.9043352603912,False,165
1.5,30,5,834.1992444992065,834.1992444992065,True,187
1.5,30,4,753.977935552597,753.977935552597,True,172
1.5,30,4,739.8605959415436,739.8605959415436,True,155
1.5,30,8,1268.6585266590118,1268.6585266590118,True,164
1.5,30,13,1855.576024055481,1855.576024055481,False,152
1.5,30,4,836.1935081481934,836.1935081481934,True,172
1.5,30,2,542.8872275352478,542.8872275352478,True,156
1.5,30,10,1459.3446650505066,1459.3446650505066,True,170
1.5,30,10,1480.1768507957458,1480.1768507957458,True,162
1.5,30,6,1033.7933940887451,1033.7933940887451,True,165
1.5,30,3,702.5657248497009,702.5657248497009,True,162
1.5,30,9,1212.3238673210144,1212.3238673210144,True,164
1.5,30,8,1838.2313959598541,1838.2313959598541,False,173
1.5,30,4,744.3710842132568,744.3710842132568,True,163
1.5,30,2,557.4871819019318,557.4871819019318,True,163
1.5,30,3,629.0564301013947,629.0564301013947,True,166
1.5,30,3,693.6018369197845,693.6018369197845,True,171
1.5,30,12,1824.7512681484222,1824.7512681484222,False,162
1.5,30,6,1252.0894358158112,1252.0894358158112,True,182
1.5,30,3,829.1375865936279,829.1375865936279,True,180
1.5,30,3,636.5450115203857,636.5450115203857,True,150
1.5,30,3,618.9115080833435,618.9115080833435,True,173
1.5,30,12,1812.0160076618195,1812.0160076618195,False,173
1.5,30,14,1909.867850780487,1909.867850780487,False,165
1.5,30,11,1911.1871757507324,1911.1871757507324,False,175
1.5,30,6,1090.7532424926758,1090.7532424926758,True,155
1.5,30,4,780.8421413898468,780.8421413898468,True,174
1.5,30,7,1192.6166384220123,1192.6166384220123,True,170
1.5,30,11,1859.4473123550415,1859.4473123550415,False,170
1.5,30,5,905.2876534461975,905.2876534461975,True,149
1.5,30,5,1007.2626411914825,1007.2626411914825,True,171
1.5,30,3,673.7214484214783,673.7214484214783,True,177
1.5,30,2,535.1748790740967,535.1748790740967,True,162
1.5,30,3,716.6552085876465,716.6552085876465,True,185
1.5,30,6,942.2136273384094,942.2136273384094,True,150
1.5,30,9,1243.6911506652832,1243.6911506652832,True,190
1.5,30,4,703.7067666053772,703.7067666053772,True,163
1.5,30,2,586.5104866027832,586.5104866027832,True,176
1.5,30,13,1834.542499780655,1834.542499780655,False,170
1.5,30,2,569.2892303466797,569.2892303466797,True,179
1.5,30,1,467.50563287734985,467.50563287734985,True,169
1.5,30,4,713.463093996048,713.463093996048,True,180
1.5,30,16,1835.5198979377747,1835.5198979377747,False,160
1.5,30,2,543.1587886810303,543.1587886810303,True,162
1.5,30,4,747.0068910121918,747.0068910121918,True,163
1.5,30,3,680.5756642818451,680.5756642818451,True,185
1.5,30,2,538.5596809387207,538.5596809387207,True,163
1.5,30,6,967.5661063194275,967.5661063194275,True,156
1.5,30,1,418.24511075019836,418.24511075019836,True,152
1.5,30,2,547.5394687652588,547.5394687652588,True,163
1.5,30,4,739.6286489963531,739.6286489963531,True,152
1.5,30,13,1819.7466852664948,1819.7466852664948,False,177
1.5,30,7,1094.501386642456,1094.501386642456,True,164
1.5,30,13,1829.9649503231049,1829.9649503231049,False,165
1.5,30,4,856.3357284069061,856.3357284069061,True,179
1.5,30,9,1334.653517484665,1334.653517484665,True,160
1.5,30,3,707.1892566680908,707.1892566680908,True,174
1.5,30,2,563.1477608680725,563.1477608680725,True,179
1.5,30,8,1319.972460269928,1319.972460269928,True,160
1.5,30,14,1879.354521036148,1879.354521036148,False,160
1.5,30,4,750.3308463096619,750.3308463096619,True,173
1.5,30,13,1836.3803389072418,1836.3803389072418,False,153
1.5,30,8,1260.587210893631,1260.587210893631,True,179
1.5,30,4,784.7332227230072,784.7332227230072,True,157
1.5,30,3,639.6772110462189,639.6772110462189,True,177
1.5,30,1,427.53058552742004,427.53058552742004,True,146
1.5,30,11,1871.7619473934174,1871.7619473934174,False,166
2,30,13,1862.291761636734,1862.291761636734,False,183
2,30,5,1090.8737819194794,1090.8737819194794,True,170
2,30,6,1098.6859045028687,1098.6859045028687,True,165
2,30,5,952.6542859077454,952.6542859077454,True,178
2,30,10,1801.9877276420593,1801.9877276420593,False,174
2,30,10,1816.7643930912018,1816.7643930912018,False,170
2,30,6,1002.7514224052429,1002.7514224052429,True,166
2,30,13,1841.03222322464,1841.03222322464,False,168
2,30,8,1296.4568955898285,1296.4568955898285,True,159
2,30,4,776.5890612602234,776.5890612602234,True,164
2,30,5,1113.6530640125275,1113.6530640125275,True,172
2,30,3,649.5911495685577,649.5911495685577,True,171
2,30,11,1528.293479681015,1528.293479681015,True,162
2,30,3,635.2322382926941,635.2322382926941,True,170
2,30,2,570.8768711090088,570.8768711090088,True,164
2,30,13,1818.1060903072357,1818.1060903072357,False,186
2,30,13,1816.6414153575897,1816.6414153575897,False,150
2,30,10,1589.7655944824219,1589.7655944824219,True,158
2,30,13,1917.0959639549255,1917.0959639549255,False,176
2,30,9,1244.3481435775757,1244.3481435775757,True,173
2,30,8,1540.3799092769623,1540.3799092769623,True,156
