n,num_trains,k,time,time_first_solution,solution_found,num_movements
2,30,8,54.16555094718933,54.16555094718933,True,176
2,30,12,54.74401330947876,54.74401330947876,True,166
2,30,8,43.50050926208496,43.50050926208496,True,173
2,30,59,369.4424583911896,369.4424583911896,True,162
2,30,7,35.177852392196655,35.177852392196655,True,182
2,30,9,43.603960275650024,43.603960275650024,True,191
2,30,11,56.168224811553955,56.168224811553955,True,166
2,30,17,90.89048981666565,90.89048981666565,True,185
2,30,10,56.22130274772644,56.22130274772644,True,165
2,30,11,60.17408990859985,60.17408990859985,True,170
2,30,11,55.95639944076538,55.95639944076538,True,173
3,30,24,109.68312740325928,109.68312740325928,True,154
3,30,17,79.87055850028992,79.87055850028992,True,163
