n,num_trains,k,time,time_first_solution,solution_found,num_movements
1.5,30,6,61.63659429550171,61.63659429550171,True,175
1.5,30,7,40.3926260471344,40.3926260471344,True,178
1.5,30,7,47.677194118499756,47.677194118499756,True,176
1.5,30,8,38.28786039352417,38.28786039352417,True,169
1.5,30,8,43.35686016082764,43.35686016082764,True,170
1.5,30,15,95.70905494689941,95.70905494689941,True,160
1.5,30,35,153.56026554107666,153.56026554107666,True,182
1.5,30,6,31.296966791152954,31.296966791152954,True,220
1.5,30,8,41.75658345222473,41.75658345222473,True,182
1.5,30,6,36.3843719959259,36.3843719959259,True,184
1.5,30,10,56.00926971435547,56.00926971435547,True,178
1.5,30,10,55.59168815612793,55.59168815612793,True,159
1.5,30,9,46.65448069572449,46.65448069572449,True,181
2,30,8,40.41074252128601,40.41074252128601,True,186
2,30,11,53.10178327560425,53.10178327560425,True,177
2,30,8,38.572105407714844,38.572105407714844,True,180
2,30,8,44.58851909637451,44.58851909637451,True,184
2,30,11,66.19735312461853,66.19735312461853,True,181
2,30,11,72.39579486846924,72.39579486846924,True,176
2,30,21,103.28241491317749,103.28241491317749,True,181
2,30,11,57.41608023643494,57.41608023643494,True,161
2,30,14,79.02617716789246,79.02617716789246,True,176
2,30,15,76.85776710510254,76.85776710510254,True,160
2,30,7,39.95976209640503,39.95976209640503,True,197
2,30,8,41.0528028011322,41.0528028011322,True,181
2,30,15,77.63658237457275,77.63658237457275,True,143
2,30,34,155.9560124874115,155.9560124874115,True,174
2,30,10,53.01029849052429,53.01029849052429,True,169
2,30,11,50.00090932846069,50.00090932846069,True,153
2,30,9,49.78307890892029,49.78307890892029,True,160
2,30,357,1801.5138368606567,1801.5138368606567,False,173
2,30,8,47.61822319030762,47.61822319030762,True,175
2,30,10,70.48178267478943,70.48178267478943,True,168
2,30,10,57.3843195438385,57.3843195438385,True,166
2,30,20,96.70109272003174,96.70109272003174,True,161
2,30,11,59.911683797836304,59.911683797836304,True,175
2,30,77,420.393625497818,420.393625497818,True,175
2,30,8,44.34810662269592,44.34810662269592,True,180
