filename,found,total_computation_time
scenario_solver_32_trains_1_units28,True,00:02:22.8421583
scenario_solver_32_trains_1_units29,True,00:02:45.2374620
scenario_solver_32_trains_1_units3,True,00:01:45.9268524
scenario_solver_32_trains_1_units30,True,00:02:42.0065073
scenario_solver_32_trains_1_units4,True,00:01:57.8657350
scenario_solver_30_trains_30_units19,True,00:02:03.6574860
scenario_solver_30_trains_30_units2,True,00:01:54.6484833
scenario_solver_30_trains_30_units20,True,00:01:42.5267087
scenario_solver_30_trains_30_units21,True,00:01:43.3775914
scenario_solver_30_trains_30_units22,True,00:02:17.0937006
scenario_solver_29_trains_29_units19,True,00:02:16.7939999
scenario_solver_29_trains_29_units2,True,00:01:27.2356282
scenario_solver_29_trains_29_units20,True,00:01:23.3681891
scenario_solver_29_trains_29_units21,True,00:02:12.5603694
scenario_solver_29_trains_29_units22,True,00:01:15.6987560
scenario_solver_20_trains_20_units23,True,00:00:10.4958199
scenario_solver_20_trains_20_units24,True,00:00:08.9771751
scenario_solver_20_trains_20_units25,True,00:00:10.7608640
scenario_solver_20_trains_20_units26,True,00:00:09.8479471
scenario_solver_20_trains_20_units27,True,00:00:09.8332789
scenario_solver_5_trains_1_units19,True,00:00:03.5101514
scenario_solver_5_trains_1_units2,True,00:00:03.4383055
scenario_solver_5_trains_1_units20,True,00:00:03.5059602
scenario_solver_5_trains_1_units21,True,00:00:03.4941569
scenario_solver_5_trains_1_units22,True,00:00:03.4890443
scenario_solver_33_trains_33_units19,True,00:02:12.0005109
scenario_solver_33_trains_33_units2,True,00:03:07.1474814
scenario_solver_33_trains_33_units20,True,00:02:33.5054837
scenario_solver_33_trains_11_units19,True,00:03:23.1713090
scenario_solver_33_trains_11_units2,True,00:03:11.9509827
scenario_solver_33_trains_11_units20,True,00:02:54.1569356
scenario_solver_33_trains_11_units21,True,00:03:05.5498864
scenario_solver_25_trains_5_units28,True,00:00:16.7088673
scenario_solver_25_trains_5_units29,True,00:00:16.2614604
scenario_solver_25_trains_5_units3,True,00:00:15.4633962
scenario_solver_25_trains_5_units30,True,00:00:17.8890970
scenario_solver_25_trains_5_units4,True,00:00:16.1783608
scenario_solver_29_trains_10_units28,True,00:00:23.1295652
scenario_solver_29_trains_10_units29,True,00:00:21.3698050
scenario_solver_29_trains_10_units3,True,00:00:36.3797644
scenario_solver_29_trains_10_units30,True,00:00:36.2130345
scenario_solver_29_trains_10_units4,True,00:01:05.9278355
scenario_solver_27_trains_9_units28,True,00:00:16.4148511
scenario_solver_27_trains_9_units29,True,00:00:38.6081548
scenario_solver_27_trains_9_units3,True,00:00:18.2308474
scenario_solver_27_trains_9_units30,True,00:00:18.7694278
scenario_solver_27_trains_9_units4,True,00:00:19.0337723
scenario_solver_10_trains_4_units19,True,00:00:07.6855959
scenario_solver_10_trains_4_units2,True,00:00:06.5999536
scenario_solver_10_trains_4_units20,True,00:00:06.6784268
scenario_solver_10_trains_4_units21,True,00:00:06.4618233
scenario_solver_10_trains_4_units22,True,00:00:06.8293137
scenario_solver_10_trains_5_units14,True,00:00:13.8173971
scenario_solver_10_trains_5_units15,True,00:00:06.9230731
scenario_solver_10_trains_5_units16,True,00:00:11.8964998
scenario_solver_10_trains_5_units17,True,00:00:06.3293208
scenario_solver_10_trains_5_units18,True,00:00:10.1240855
scenario_solver_5_trains_5_units19,True,00:00:02.1665650
scenario_solver_5_trains_5_units2,True,00:00:02.1775058
scenario_solver_5_trains_5_units20,True,00:00:02.0472287
scenario_solver_5_trains_5_units21,True,00:00:02.0602875
scenario_solver_5_trains_5_units22,True,00:00:02.1411459
scenario_solver_26_trains_1_units5,True,00:00:17.7766286
scenario_solver_26_trains_1_units6,True,00:00:18.8171273
scenario_solver_26_trains_1_units7,True,00:00:20.9125881
scenario_solver_26_trains_1_units8,True,00:00:17.8763884
scenario_solver_26_trains_1_units9,True,00:00:16.7538526
scenario_solver_20_trains_1_units14,True,00:00:15.7864310
scenario_solver_20_trains_1_units15,True,00:00:15.2390451
scenario_solver_20_trains_1_units16,True,00:00:15.1653139
scenario_solver_20_trains_1_units17,True,00:00:15.5563663
scenario_solver_20_trains_1_units18,True,00:00:14.3086907
